id,product_id,variant_id,reason,product_name,url_length,image_url_preview
159,,,orphan_no_product_no_variant,,217,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772272150/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
160,,,orphan_no_product_no_variant,,217,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772272150/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
161,,,orphan_no_product_no_variant,,229,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268472/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
162,,,orphan_no_product_no_variant,,153,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268092/img/Laptop/Acer/laptop-acer-aspire-lite-16-gen-2-al16-52p-
163,,,orphan_no_product_no_variant,,153,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268092/img/Laptop/Acer/laptop-acer-gaming-aspire-7-a715-59g-57tu-
164,,,orphan_no_product_no_variant,,93,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268093/img/Laptop/Acer/laptop-acer.jpg
165,,,orphan_no_product_no_variant,,153,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268093/img/Laptop/Acer/laptop-gaming-acer-nitro-v-15-propanel-anv
166,,,orphan_no_product_no_variant,,100,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268093/img/Laptop/Apple/apple-chinh-hang.webp
168,,,orphan_no_product_no_variant,,97,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268093/img/Laptop/Apple/laptop-macbook.jpg
170,,,orphan_no_product_no_variant,,117,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268094/img/Laptop/Apple/macbook-air-m3-13-6-inch-8gb-512gb.png
171,,,orphan_no_product_no_variant,,116,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268094/img/Laptop/Apple/macbook-air-m4-13-inch-16gb-256gb.png
172,,,orphan_no_product_no_variant,,154,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268094/img/Laptop/Apple/macbook-air-m4-13-inch-2025-10cpu-10gpu-1
173,,,orphan_no_product_no_variant,,154,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268094/img/Laptop/Apple/macbook-air-m4-13-inch-2025-10cpu-8gpu-16
174,,,orphan_no_product_no_variant,,154,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268095/img/Laptop/Apple/macbook-air-m4-13-inch-2025-10cpu-8gpu-16
176,,,orphan_no_product_no_variant,,113,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268095/img/Laptop/Apple/macbook-pro-14-m4-max-36gb-1tb.png
178,,,orphan_no_product_no_variant,,154,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268095/img/Laptop/Apple/macbook-pro-14-m5-10cpu-10gpu-16gb-512gb-
